rule,support,confidence,lift
<{itemID=214845587}> => <{itemID=214850402}>,0.0023732799163908727,0.20913277052954718,36.88575224608695
<{itemID=214845887}> => <{itemID=214849001}>,0.001053823375718516,0.16307277628032343,17.28104861329648
<{itemID=214845917}> => <{itemID=214849001}>,0.001180107995122801,0.2561436672967864,27.1439002113678
<{itemID=214845887}> => <{itemID=214848997}>,0.001223654415607037,0.18935309973045822,23.453638523248344
<{itemID=214846007}> => <{itemID=214848997}>,0.002125065319630726,0.18675851511672406,23.132268290940946
<{itemID=214846061}> => <{itemID=214848997}>,0.0014065493816408292,0.18659734257654534,23.112305150635315
<{itemID=214849001}> => <{itemID=214848997}>,0.0013542936770597456,0.1435163820950623,17.776214662518935
<{itemID=214847940}> => <{itemID=214847940}>,0.0013542936770597456,0.25450081833060556,47.82616032851085
<{itemID=214847936}> => <{itemID=214847936}>,0.0013804215293502875,0.21786941580756017,34.38593309006744
<{itemID=214846007}> => <{itemID=214846447}>,0.0011147883643964466,0.0979716800612323,18.890190268061616
<{itemID=214846061}> => <{itemID=214846447}>,0.0010146315972827033,0.13460427498555746,25.953422088735024
<{itemID=214845887}> => <{itemID=214846061}>,0.0014239679498345237,0.22035040431266847,29.232389859249675
<{itemID=214846007}> => <{itemID=214846061}>,0.002125065319630726,0.18675851511672406,24.775982328945414
<{itemID=214849001}> => <{itemID=214846061}>,0.0013760668873018637,0.14582371942778033,19.345441322585483
<{itemID=214846007}> => <{itemID=214846033}>,0.0011322069325901411,0.09950248756218906,10.092646309090592
<{itemID=214848997}> => <{itemID=214846033}>,0.0010973697962027521,0.13592233009708737,13.786750831932485
<{itemID=214849001}> => <{itemID=214846033}>,0.0011713987110259538,0.12413474850023073,12.591123518371461
<{itemID=214845887}> => <{itemID=214846007}>,0.0020989374673401847,0.3247978436657682,28.544422816458866
<{itemID=214845917}> => <{itemID=214846007}>,0.0011844626371712245,0.2570888468809074,22.593908456843312
<{itemID=214849001}> => <{itemID=214846007}>,0.0017723393137084131,0.1878172588832487,16.506067864504107
<{itemID=214845917}> => <{itemID=214845887}>,0.001110433722348023,0.2410207939508507,37.29650614748878
<{itemID=214846007}> => <{itemID=214845887}>,0.0014196133077861,0.12476081132797551,19.305978917355993
<{itemID=214849001}> => <{itemID=214845887}>,0.0017766939557568367,0.1882787263497923,29.13499105051638
<{itemID=214844345}> => <{itemID=214845587}>,0.0013717122452534401,0.05203171456888008,4.585020312201697
<{itemID=214844396}> => <{itemID=214845587}>,0.001328165824769204,0.0387646161667514,3.4159272665129663
<{itemID=214844398}> => <{itemID=214845587}>,0.0013107472565755094,0.0426526852770299,3.7585428422936094
